Neuron Input Output
DA2 0.9999991684719722 0.9999991684719722
DD1 1 1
VA4 0.9996483569797049 0.9996483569797049
AS3 0.9967665673399765 0.9967665673399765
DA3 0.9999999999948106 0.9999999999948106
VA5 0.9996646498695336 0.9996646498695336
VD3 1 1
AS4 0.999088948048719 0.999088948048719
AS5 0.999983283341702 0.999983283341702
VD4 1 1
DD2 1 1
VA7 0.7310585786300049 0.7310585786300049
VD5 1 1
AS6 0.997215214634948 0.997215214634948
DA5 0.999999694097773 0.999999694097773
VA8 0.9999999999947171 0.9999999999947171
VD6 1 1
AS7 0.9999938558253978 0.9999938558253978
AS8 0.999983298578152 0.999983298578152
AS9 0.9999991684719722 0.9999991684719722
DVB 0.5 0.5
ASJL 0.8807970760409481 0.8807970760409481
DA4 0.9999999847700205 0.9999999847700205
DA6 0.9999999999981204 0.9999999999981204
DA7 0.9933071490757153 0.9933071490757153
DA8 0.9999999992366146 0.9999999992366146
DA9 0.9999999978003735 0.9999999978003735
DB5 0.9990889488055994 0.9990889488055994
DB6 0.9999938558253978 0.9999938558253978
LUAL 0.9995612125693999 0.9995612125693999
SABD 0.9999999979381189 0.9999999979381189
SABVR 0.9999938558253945 0.9999938558253945
SDQR 0.5 0.5
URYDL 0.9933042305515131 0.9933042305515131
URYVR 0.8807937819190033 0.8807937819190033
VA1 0.9999970988461809 0.9999970988461809
VA10 0.9999546021312976 0.9999546021312976
VA11 0.999999999204807 0.999999999204807
VA12 0.9999990062790918 0.9999990062790918
VA2 0.9999996938189528 0.9999996938189528
VA6 0.9999546021312761 0.9999546021312761
VA9 0.9999999999915752 0.9999999999915752
VB9 0.9932917657346984 0.9932917657346984
DB3 0.9999991684709026 0.9999991684709026
LUAR 0.9959025301818281 0.9959025301818281
PDEL 0.9999999730588717 0.9999999730588717
PDER 0.999999764836111 0.999999764836111
SABVL 0.9999999999622478 0.9999999999622478
URYDR 0.8774568353461559 0.8774568353461559
URYVL 0.7310571718842763 0.7310571718842763
DB4 0.9999832965027653 0.9999832965027653
DB7 0.9998766049335942 0.9998766049335942
SIBVL 0.9998425913848763 0.9998425913848763
VB10 0.9974072912395474 0.9974072912395474
VB11 0.9820137752744662 0.9820137752744662
VB4 0.9975273768433653 0.9975273768433653
VB5 0.9933065454334703 0.9933065454334703
VB6 0.99330714907568 0.99330714907568
VB7 0.981895194024758 0.981895194024758
VB8 0.9999831861663636 0.9999831861663636
VC3 0.9999930754739386 0.9999930754739386
DB2 0.9975273737077031 0.9975273737077031
PVNL 0.9999809520828115 0.9999809520828115
VB3 0.9525423445936579 0.9525423445936579
VD10 0.9988695591293556 0.9988695591293556
PQR 0.9932797258367994 0.9932797258367994
RMDVR 1 1
RMEV 0.9999999997055675 0.9999999997055675
RMDVL 1 1
AVG 0.9999828140583519 0.9999828140583519
VC4 0.7264104355111535 0.7264104355111544
VD11 0.9524568573359787 0.9524568573359787
PHAL 0.9996508776123741 0.9996508776123741
PHBR 0.9999826931990744 0.9999826931990744
PLMR 0.8807970779778823 0.8807970779778823
PVM 0.9525741243882127 0.9525741243882127
RMFR 0.9999977396284354 0.9999977396284354
SIAVR 0.9996275997408842 0.9996275997408842
RMFL 0.9999930674497645 0.9999930674497645
DD6 0.999999999999996 0.999999999999996
PVWL 0.9975161153605725 0.9975161153605725
VD12 0.999999164146416 0.999999164146416
URADL 0.9959294660190142 0.9959294660190142
URADR 0.9706286608839665 0.9706286608839665
IL1DL 0.9999895954784581 0.9999895954784581
OLQDL 0.9999998734569089 0.9999998734569089
IL1DR 0.9999985729399329 0.9999985729399329
IL1R 0.9995864589718189 0.9995864589718189
URBR 0.950080681757165 0.950080681757165
IL1VL 0.9999928450761877 0.9999928450761877
SIAVL 0.997524704022012 0.997524704022012
URAVL 0.9851249531744378 0.9851249531744378
IL1VR 0.9999749896739021 0.9999749896739021
IL2VR 0.9525710220441627 0.9525710220441627
OLQVR 0.9999999773786884 0.9999999773786884
URAVR 0.9919200933342788 0.9919200933342788
PHCL 0.7310585786300049 0.7310585786300049
DD3 1 1
DD4 1 1
VD8 0.9933071490755395 0.9933071490755395
DD5 1 1
VD9 0.9999999992416164 0.9999999992416164
VC5 0.9764861497181576 0.9764861497181578
VC2 0.9998760474737978 0.9998760474737978
I1L 0.999999998655275 0.999999998655275
I1R 0.9999999986520107 0.9999999986520107
I3 0.9999981089603407 0.9999981089603407
I5 0.9999999978770882 0.9999999978770882
I2L 0.9999999965351953 0.9999999965351953
M1 0.999996243605119 0.999996243605119
I2R 0.9999999965351953 0.9999999965351953
M2L 0.7310582068288791 0.7310582068288791
M2R 0.7310582068288791 0.7310582068288791
I4 0.9999978184229426 0.9999978184229426
M5 0.731058578212615 0.731058578212615
MI 0.9987523306234369 0.9987523306234369
I6 0.9988366789607858 0.9988366789607858
M4 0.5 0.5
NSML 0.9975754134868073 0.9975754134868073
NSMR 0.9995824394906538 0.9995824394906538
RMER 0.9999999997724649 0.9999999997724649
RMEL 0.9999994797015146 0.9999994797015146
RMED 0.9997905107183026 0.9997905107183026
IL2R 0.9502673015458207 0.9502673015458207
IL2DL 0.5 0.5
IL2DR 0.5 0.5
VC1 0.9988019972661347 0.9988019972661347
VD7 0.9999999999917923 0.9999999999917923
IL2VL 0.7310585735307719 0.7310585735307719
PHBL 0.9996616508590993 0.9996616508590993
PLML 0.5 0.5
M3L 0.8804983476626039 0.8804983476626042
M3R 0.8804983476626039 0.8804983476626042
MCL 0.5 0.5
MCR 0.5 0.5
SIBVR 0.9988081256334845 0.9988081256334845
SIBDL 0.9525741233073926 0.9525741233073926
PHAR 0.9932955341496964 0.9932955341496964
PHCR 0.5 0.5
PLNL 0.7310585778678446 0.7310585778678446
PLNR 0.5 0.5
PVDL 0.8175744761936437 0.8175744761936437
PVWR 0.8805360392530234 0.8805360392530234
PVDR 0.5 0.5
